rec_id,season,town,zone_use,building_type,trade_date,total_price,land_area_ping,building_area_ping,area_ping,unit_price_ping,address,is_land_only,is_special
6436586674078034692,115S2,溪湖鎮,特定農業區,其他,1150120,15540000.0,1410.86,0.0,1410.86,11015.0,河興段211地號,True,False
5486986405736315855,115S2,埔心鄉,特定農業區,其他,1150127,8500000.0,570.68,0.0,570.68,14895.0,梧鳳段481地號,True,False
3690666618567911264,115S2,埔鹽鄉,鄉村區,其他,1150127,13030000.0,214.72,0.0,214.72,60684.0,新東榮段806地號,True,False
5149250776575591965,115S2,埔鹽鄉,特定農業區,透天厝,1150127,4000000.0,23.7,29.85,29.85,134003.0,彰化縣埔鹽鄉中山路１８巷１３號,False,True
5810311657317910213,115S2,秀水鄉,住,透天厝,1150108,15300000.0,33.32,49.25,49.25,310660.0,彰化縣秀水鄉花秀路１６０之１號,False,False
2014025074679405009,115S2,溪湖鎮,住,透天厝,1150116,24000000.0,63.7,86.24,86.24,278293.0,彰化縣溪湖鎮水源北街１６號,False,False
1957573370976575355,115S2,秀水鄉,特定農業區,透天厝,1150103,75000000.0,519.69,61.23,61.23,1224890.0,彰化縣秀水鄉彰馬街５６號,False,False
2211585591059439412,115S2,埔心鄉,農,透天厝,1150110,12680000.0,32.38,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷９號,False,False
462512064909906998,115S2,埔心鄉,農,透天厝,1150114,12680000.0,33.41,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１８號,False,False
2107986047239930799,115S2,埔心鄉,農,透天厝,1150107,12680000.0,34.59,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷２號,False,False
53605107917165240,115S2,埔心鄉,農,透天厝,1150109,12680000.0,34.5,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１５號,False,False
7594454808929237387,115S2,埔心鄉,農,透天厝,1150107,12380000.0,33.11,45.79,45.79,270365.0,彰化縣埔心鄉羅厝路三段２２１巷１號,False,False
433834985820597593,115S2,埔心鄉,農,透天厝,1150109,12680000.0,33.13,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１３號,False,False
7394414525559942678,115S2,埔心鄉,農,透天厝,1150110,12880000.0,33.45,54.88,54.88,234694.0,彰化縣埔心鄉羅厝路三段２１５號,False,False
3169569450194510017,115S2,埔心鄉,農,透天厝,1150110,13080000.0,30.96,58.06,58.06,225284.0,彰化縣埔心鄉羅厝路三段２１７號,False,False
5966085665206936768,115S2,埔心鄉,農,透天厝,1150113,12680000.0,33.17,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷６號,False,False
5077856876314364895,115S2,埔心鄉,農,透天厝,1150113,12680000.0,33.26,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１０號,False,False
3675988161245342487,115S2,埔心鄉,農,透天厝,1150109,12680000.0,35.45,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷２０號,False,False
462868310902390708,115S2,埔心鄉,農,透天厝,1150107,12680000.0,33.5,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１６號,False,False
4392261657727874533,115S2,埔心鄉,農,透天厝,1150119,12680000.0,33.4,47.58,47.58,266499.0,彰化縣埔心鄉羅厝路三段２２１巷１２號,False,False
4460743405112671456,115S2,溪湖鎮,特定農業區,透天厝,1150127,14600000.0,31.72,51.92,51.92,281202.0,彰化縣溪湖鎮彰水路二段４２０巷１６８號,False,False
4844161243034218954,115S2,溪湖鎮,住,其他,1150122,10700000.0,37.64,0.0,37.64,284272.0,富貴段40-1地號,True,False
1793755655884328819,115S2,秀水鄉,住,透天厝,1150124,19980000.0,33.18,71.48,71.48,279519.0,彰化縣秀水鄉枋林巷７１之９號,False,False
7943507916460313109,115S2,溪湖鎮,住,其他,1150117,23961000.0,97.8,0.0,97.8,245000.0,大竹段775地號,True,False
408840912434916837,115S2,埔鹽鄉,特定農業區,其他,1150129,2500000.0,302.5,0.0,302.5,8264.0,三省段1048地號,True,False
8795345581399562397,115S2,埔鹽鄉,特定農業區,透天厝,1150106,72000000.0,453.75,837.0,837.0,86022.0,彰化縣埔鹽鄉員鹿路一段１２９號,False,False
4186882831556061567,115S2,埔心鄉,鄉村區,其他,1150111,5680000.0,41.42,0.0,41.42,137132.0,太平西段810-23地號,True,False
2823244165777815980,115S2,埔鹽鄉,特定農業區,透天厝,1150112,11200000.0,27.22,54.63,54.63,205016.0,彰化縣埔鹽鄉好金路３１之１７號,False,False
